"Site" "Stage" "cluster" "UMAP1" "UMAP2" "nGene" "nUMI"
"B1_TKR180900709_HT3YJCCXY_L6_sc84" "Blood" "CS17" "CD7hiP" -3.125823975 -2.861743212 5620 387905
"B1_TKR180900709_HT3YJCCXY_L6_sc85" "Blood" "CS17" "ErP" -6.505495548 -3.258022308 3707 24500
"B1_TKR180900709_HT3YJCCXY_L6_sc86" "Blood" "CS17" "CD7hiP" -0.276689023 -5.326538563 5232 434386
"B1_TKR180900709_HT3YJCCXY_L6_sc87" "Blood" "CS17" "Myeloblast" -0.081465192 -0.34788999 4519 89633
"B1_TKR180900709_HT3YJCCXY_L6_sc88" "Blood" "CS17" "CD7hiP" -0.019149195 -3.469430685 3460 46740
"B1_TKR180900709_HT3YJCCXY_L6_sc89" "Blood" "CS17" "YSMP" -3.277707338 -1.856637836 6584 440705
"B1_TKR180900709_HT3YJCCXY_L6_sc90" "Blood" "CS17" "CD7hiP" -0.592181921 -5.296923637 3331 108101
"B1_TKR180900709_HT3YJCCXY_L6_sc91" "Blood" "CS17" "Mast cell" -7.74582243 -2.01068759 3742 77318
"B1_TKR180900709_HT3YJCCXY_L6_sc92" "Blood" "CS17" "MkP" -7.115744114 -4.856151104 7107 459340
"B1_TKR180900709_HT3YJCCXY_L6_sc93" "Blood" "CS17" "Mast cell" -7.788657188 -2.17560029 2595 24213
"B1_TKR180900709_HT3YJCCXY_L6_sc94" "Blood" "CS17" "CD7hiP" -1.57022202 -4.108494759 4576 171893
"FL7_TKR181200323_sc49" "Liver" "CS12" "Mac_2" 5.84099865 -2.013088226 5054 186936
"FL7_TKR181200323_sc50" "Liver" "CS12" "Mac_3" 6.10726738 -2.216304541 6111 268809
"FL7_TKR181200323_sc51" "Liver" "CS12" "Mac_2" 4.930280685 -2.472540379 5977 112408
"FL7_TKR181200323_sc52" "Liver" "CS12" "Mac_2" 4.895057678 -2.704522371 5652 227093
"FL7_TKR181200323_sc53" "Liver" "CS12" "Myeloblast" 0.478595853 0.642318904 2620 17341
"FL7_TKR181200323_sc54" "Liver" "CS12" "Myeloblast" 0.944697142 0.319706261 2668 93231
"FL7_TKR181200323_sc55" "Liver" "CS12" "Myeloblast" -0.307158947 0.384231538 2908 103733
"FL7_TKR181200323_sc56" "Liver" "CS12" "CD7loP" 2.275444984 -2.593008518 4819 41396
"FL7_TKR181200323_sc57" "Liver" "CS12" "YSMP" -4.548491955 -1.284531116 5057 79188
"FL7_TKR181200323_sc58" "Liver" "CS12" "CD7hiP" 0.037632078 -4.592267513 5539 218483
"FL7_TKR181200323_sc59" "Liver" "CS12" "Myeloblast" 1.528398514 -0.153969094 3716 27724
"FL7_TKR181200323_sc60" "Liver" "CS12" "Mac_2" 5.970398426 -2.287200689 5354 189725
"FL7_TKR181200323_sc61" "Liver" "CS12" "Myeloblast" 1.051594496 -0.422737896 6097 308566
"FL7_TKR181200323_sc62" "Liver" "CS12" "Monocyte" 2.811518908 -1.07067585 5287 329302
"FL7_TKR181200323_sc63" "Liver" "CS12" "Mac_1" 6.98003912 -1.657250047 6546 427696
"FL7_TKR181200323_sc64" "Liver" "CS12" "CD7loP" 0.332374424 -3.083503485 5659 316401
"FL7_TKR181200323_sc65" "Liver" "CS12" "CD7loP" 1.758770585 -2.465255499 7954 347372
"FL7_TKR181200323_sc66" "Liver" "CS12" "Myeloblast" 0.993855715 -0.466587245 6082 349481
"FL7_TKR181200323_sc67" "Liver" "CS12" "Monocyte" 2.889089823 -1.840607047 7084 553406
"FL7_TKR181200323_sc68" "Liver" "CS12" "Myeloblast" 0.791408718 -0.647442758 4874 308021
"FL7_TKR181200323_sc69" "Liver" "CS12" "Monocyte" 1.908078432 -0.563837528 4776 81136
"FL7_TKR181200323_sc70" "Liver" "CS12" "Mac_2" 5.368164063 -2.635258198 6255 365424
"FL7_TKR181200323_sc71" "Liver" "CS12" "Myeloblast" 0.190323308 -0.138018355 5314 314184
"FL7_TKR181200323_sc72" "Liver" "CS12" "Myeloblast" 0.293124706 -0.558084965 6215 242397
"FL7_TKR181200323_sc73" "Liver" "CS12" "GMP" -1.298549771 -0.296263427 4190 18945
"FL7_TKR181200323_sc74" "Liver" "CS12" "Mac_2" 6.335786343 -2.280614853 3326 171948
"FL7_TKR181200323_sc75" "Liver" "CS12" "CD7hiP" -0.93925631 -4.97694397 2477 34935
"FL7_TKR181200323_sc76" "Liver" "CS12" "Myeloblast" 1.523611307 -0.254605711 5802 15588
"FL7_TKR181200323_sc77" "Liver" "CS12" "Monocyte" 2.876990557 -1.512219191 6049 382116
"FL7_TKR181200323_sc78" "Liver" "CS12" "Myeloblast" 0.204177201 0.045369402 4215 56709
"FL7_TKR181200323_sc79" "Liver" "CS12" "Myeloblast" -0.859671175 0.538613737 2790 87733
"FL7_TKR181200323_sc80" "Liver" "CS12" "YSMP" -4.411220551 -1.405826569 6490 546081
"FL7_TKR181200323_sc81" "Liver" "CS12" "Myeloblast" 0.741790593 -0.530766308 4345 72416
"FL7_TKR181200323_sc82" "Liver" "CS12" "Monocyte" 3.004501104 -0.929272652 2964 17745
"FL7_TKR181200323_sc83" "Liver" "CS12" "CD7loP" 2.093887806 -3.238637447 5631 196327
"FL7_TKR181200323_sc84" "Liver" "CS12" "YSMP" -4.166172028 -1.717079401 5592 242119
"FL7_TKR181200323_sc86" "Liver" "CS12" "Myeloblast" 1.118782878 -0.541397691 4688 242031
"FL7_TKR181200323_sc87" "Liver" "CS12" "Myeloblast" 0.683375776 -0.313695401 3937 29126
"FL7_TKR181200323_sc88" "Liver" "CS12" "Mac_3" 6.237260818 -2.32719183 4309 31196
"FL7_TKR181200323_sc89" "Liver" "CS12" "Mac_2" 4.206733227 -2.944525957 3775 160379
"FL7_TKR181200323_sc90" "Liver" "CS12" "YSMP" -4.086840153 -1.883047581 6497 184363
"FL7_TKR181200323_sc91" "Liver" "CS12" "Mac_2" 3.511123896 -1.618247986 4644 65288
"FL7_TKR181200323_sc92" "Liver" "CS12" "Monocyte" 1.642450213 -1.307262421 7103 566014
"FL7_TKR181200323_sc93" "Liver" "CS12" "Monocyte" 2.977095842 -1.35815084 4096 26153
"FL7_TKR181200323_sc94" "Liver" "CS12" "Myeloblast" 1.478140712 -0.178208977 4321 159510
"FL7_TKR181200323_sc95" "Liver" "CS12" "Myeloblast" -0.522174239 -0.336858898 7081 151031
"FL7_TKR181200323_sc96" "Liver" "CS12" "Monocyte" 3.457735538 -1.997655153 6842 217524
"YS9_TKR181200321_sc1" "YS" "CS12" "Mac_2" 5.237411976 -3.92474556 4448 22578
"YS9_TKR181200321_sc2" "YS" "CS12" "Mac_2" 5.173532009 -2.236953974 3964 44074
"YS9_TKR181200321_sc3" "YS" "CS12" "CD7loP" 0.821846545 -3.022381783 5236 27747
"YS9_TKR181200321_sc4" "YS" "CS12" "Mac_2" 4.288803101 -2.792246819 4347 22573
"YS9_TKR181200321_sc7" "YS" "CS12" "YSMP" -5.088165283 -0.597569466 3890 16551
"YS9_TKR181200321_sc8" "YS" "CS12" "CD7loP" 0.914109528 -1.533333063 4560 20580
"YS9_TKR181200321_sc9" "YS" "CS12" "Mac_2" 4.801654816 -2.846162796 2800 10079
"YS9_TKR181200321_sc10" "YS" "CS12" "Mac_2" 4.972176075 -2.532750368 4338 27057
"YS9_TKR181200321_sc11" "YS" "CS12" "YSMP" -4.94718647 -0.760712206 3940 15765
"YS9_TKR181200321_sc12" "YS" "CS12" "CD7hiP" -1.0797683 -3.682799339 4719 43765
"YS9_TKR181200321_sc13" "YS" "CS12" "YSMP" -4.354517937 -1.658827901 6409 85127
"YS9_TKR181200321_sc14" "YS" "CS12" "Mac_2" 5.12133503 -2.366458893 4872 79823
"YS9_TKR181200321_sc15" "YS" "CS12" "YSMP" -4.681948662 -1.342922807 7098 104937
"YS9_TKR181200321_sc16" "YS" "CS12" "Mac_2" 5.165656567 -3.4383564 2004 13138
"YS9_TKR181200321_sc17" "YS" "CS12" "YSMP" -5.245794296 -0.943131983 6652 92559
"YS9_TKR181200321_sc19" "YS" "CS12" "CD7hiP" -1.97296679 -3.299504757 5904 151791
"YS9_TKR181200321_sc20" "YS" "CS12" "YSMP" -5.224275112 -0.98642087 4127 15856
"YS9_TKR181200321_sc21" "YS" "CS12" "YSMP" -5.074175358 -0.789619029 4781 21596
"YS9_TKR181200321_sc22" "YS" "CS12" "YSMP" -5.194755554 -0.811294675 4730 52709
"YS9_TKR181200321_sc24" "YS" "CS12" "CD7loP" 1.954548359 -2.915166378 4793 44011
"YS9_TKR181200321_sc25" "YS" "CS12" "CD7loP" 0.716097474 -3.315089464 6063 110539
"YS9_TKR181200321_sc26" "YS" "CS12" "Mac_2" 4.832509995 -2.362274408 2709 35740
"YS9_TKR181200321_sc27" "YS" "CS12" "Mac_2" 3.927597523 -2.791003466 4685 34936
"YS9_TKR181200321_sc28" "YS" "CS12" "YSMP" -5.208892345 -1.099019527 4498 18501
"YS9_TKR181200321_sc29" "YS" "CS12" "CD7loP" 0.21685043 -3.776501417 4240 75942
"YS9_TKR181200321_sc30" "YS" "CS12" "YSMP" -5.30130291 -0.916273534 4679 25634
"YS9_TKR181200321_sc32" "YS" "CS12" "YSMP" -5.410978317 -0.970424533 4805 22819
"YS9_TKR181200321_sc33" "YS" "CS12" "YSMP" -5.063895226 -0.949201465 2151 19806
"YS9_TKR181200321_sc36" "YS" "CS12" "CD7hiP" -0.647239983 -4.328118324 4790 32456
"YS9_TKR181200321_sc37" "YS" "CS12" "YSMP" -5.229278564 -0.758414984 5718 61928
"YS9_TKR181200321_sc38" "YS" "CS12" "YSMP" -5.052326679 -0.700151265 5920 215177
"YS9_TKR181200321_sc39" "YS" "CS12" "CD7loP" -0.592739701 -3.248185635 3731 12927
"YS9_TKR181200321_sc40" "YS" "CS12" "Mac_2" 5.194277287 -2.467141628 2890 25706
"YS9_TKR181200321_sc41" "YS" "CS12" "YSMP" -4.826444626 -0.555500448 5300 139979
"YS9_TKR181200321_sc42" "YS" "CS12" "YSMP" -4.053380013 -0.814827025 6915 144297
"YS9_TKR181200321_sc44" "YS" "CS12" "Monocyte" 3.194815397 -2.453995466 4294 50283
"YS9_TKR181200321_sc45" "YS" "CS12" "YSMP" -4.871740818 -0.562051237 6320 62775
"YS9_TKR181200321_sc47" "YS" "CS12" "YSMP" -5.27203083 -0.881352007 5618 84762
"YS9_TKR181200321_sc48" "YS" "CS12" "CD7hiP" -0.911232531 -4.04543066 4169 115238
"H6_TKR181200322_sc49" "Head" "CS12" "CD7loP" 1.864563823 -2.766685963 7347 486295
"H6_TKR181200322_sc50" "Head" "CS12" "Mac_2" 4.063988209 -2.828542948 5944 283570
"H6_TKR181200322_sc51" "Head" "CS12" "Mac_2" 5.356832504 -2.574452877 5856 86878
"H6_TKR181200322_sc52" "Head" "CS12" "Mac_2" 5.670221329 -2.300889254 5029 213636
"H6_TKR181200322_sc53" "Head" "CS12" "Mac_2" 4.057147503 -2.469693422 4214 60817
"H6_TKR181200322_sc54" "Head" "CS12" "Mac_2" 4.335099697 -3.114579201 5309 171857
"H6_TKR181200322_sc55" "Head" "CS12" "GMP" -1.446511149 0.207598612 3939 146790
"H6_TKR181200322_sc56" "Head" "CS12" "Mac_2" 4.10118866 -2.940947771 3278 12822
"H6_TKR181200322_sc57" "Head" "CS12" "Mac_2" 4.519052505 -2.504260063 2101 10082
"H6_TKR181200322_sc58" "Head" "CS12" "Mac_2" 3.615889549 -2.589816093 6364 382206
"H6_TKR181200322_sc59" "Head" "CS12" "Myeloblast" 1.766976118 -0.013765559 2426 20927
"H6_TKR181200322_sc60" "Head" "CS12" "CD7loP" 2.181998253 -2.8901968 6374 381591
"H6_TKR181200322_sc61" "Head" "CS12" "CD7loP" 1.405107737 -2.902635574 5264 250466
"H6_TKR181200322_sc62" "Head" "CS12" "Mac_2" 4.687723637 -2.63579607 5545 345828
"H6_TKR181200322_sc63" "Head" "CS12" "CD7loP" 1.9768821 -3.312959194 7973 566332
"H6_TKR181200322_sc64" "Head" "CS12" "Mac_2" 4.077455044 -2.062672377 5094 156151
"H6_TKR181200322_sc65" "Head" "CS12" "Mac_2" 4.003543854 -2.666880369 6200 155318
"H6_TKR181200322_sc66" "Head" "CS12" "CD7loP" 0.350706428 -3.13878274 4937 271375
"H6_TKR181200322_sc67" "Head" "CS12" "Myeloblast" 0.990728319 -0.262015849 5732 332385
"H6_TKR181200322_sc68" "Head" "CS12" "CD7loP" 3.125964642 -3.235817432 7050 601811
"H6_TKR181200322_sc69" "Head" "CS12" "Mac_2" 3.957673073 -2.630155325 6961 211290
"H6_TKR181200322_sc70" "Head" "CS12" "Mac_2" 3.973608971 -3.265737057 7762 678621
"H6_TKR181200322_sc71" "Head" "CS12" "CD7loP" 1.488772988 -2.905482531 6366 578177
"H6_TKR181200322_sc72" "Head" "CS12" "CD7loP" 0.340984821 -3.216938019 4844 161451
"H6_TKR181200322_sc73" "Head" "CS12" "CD7loP" 1.996447086 -2.822124958 4697 22999
"H6_TKR181200322_sc74" "Head" "CS12" "Mac_2" 4.997900009 -2.695845842 4764 280597
"H6_TKR181200322_sc75" "Head" "CS12" "Mac_2" 3.868866682 -2.544840813 4008 79857
"H6_TKR181200322_sc76" "Head" "CS12" "Mac_2" 3.868426085 -2.267349958 5424 16620
"H6_TKR181200322_sc77" "Head" "CS12" "CD7loP" 1.582085013 -2.526536226 6064 428044
"H6_TKR181200322_sc78" "Head" "CS12" "CD7loP" -2.204677582 -0.524802327 5697 119935
"H6_TKR181200322_sc79" "Head" "CS12" "Myeloblast" 1.243958473 0.675525725 4239 195046
"H6_TKR181200322_sc80" "Head" "CS12" "CD7loP" 1.137797713 -2.807281256 6831 692786
"H6_TKR181200322_sc81" "Head" "CS12" "Mac_2" 3.883359432 -3.227041006 6373 107338
"H6_TKR181200322_sc82" "Head" "CS12" "Mac_2" 4.919395447 -2.729629993 3536 19498
"H6_TKR181200322_sc83" "Head" "CS12" "Myeloblast" 0.340284824 -0.459215134 5937 234224
"H6_TKR181200322_sc84" "Head" "CS12" "Myeloblast" 0.571105361 -0.585885048 7239 367054
"H6_TKR181200322_sc85" "Head" "CS12" "Mac_2" 4.13015461 -2.274684906 3921 11669
"H6_TKR181200322_sc86" "Head" "CS12" "CD7loP" -0.152718499 -3.228421211 7149 729990
"H6_TKR181200322_sc87" "Head" "CS12" "Myeloblast" -0.78584528 0.326415956 3903 39381
"H6_TKR181200322_sc88" "Head" "CS12" "YSMP" -4.051003933 -1.681384921 5701 43805
"H6_TKR181200322_sc89" "Head" "CS12" "Mac_2" 4.20872879 -3.045205116 4904 264417
"H6_TKR181200322_sc90" "Head" "CS12" "Mac_2" 3.797246456 -3.105219603 6006 226820
"H6_TKR181200322_sc91" "Head" "CS12" "GMP" -1.857024431 0.101472616 4410 98083
"H6_TKR181200322_sc92" "Head" "CS12" "Mac_2" 3.853710651 -2.799120665 6522 426432
"H6_TKR181200322_sc93" "Head" "CS12" "Mac_2" 3.677018166 -3.067962885 4459 34514
"H6_TKR181200322_sc94" "Head" "CS12" "CD7loP" -0.202475876 -0.475878298 5743 227601
"H6_TKR181200322_sc95" "Head" "CS12" "Myeloblast" -0.387654543 -0.31650722 5910 123642
"H6_TKR181200322_sc96" "Head" "CS12" "CD7loP" 3.269826412 -3.133219957 6326 271883
"B3_TKR181100057_sc1" "Head" "CS13" "CD7loP" 2.189531326 -3.533756495 2646 24412
"B3_TKR181100057_sc2" "Head" "CS13" "CD7loP" 2.490233421 -3.720594406 3007 36400
"B3_TKR181100057_sc3" "Head" "CS13" "Mac_2" 3.809715509 -3.416463852 3468 49002
"B3_TKR181100057_sc4" "Head" "CS13" "Mac_2" 4.679880142 -2.802831411 4488 64687
"B3_TKR181100057_sc5" "Head" "CS13" "GMP" -1.582909346 0.009578947 3242 14875
"B3_TKR181100057_sc6" "Head" "CS13" "CD7loP" 2.220794678 -3.471419334 3801 16672
"B3_TKR181100057_sc7" "Head" "CS13" "Myeloblast" 0.258081734 0.096129581 2620 10147
"B3_TKR181100057_sc9" "Head" "CS13" "Mac_1" 6.511229038 0.299194068 5137 79508
"B3_TKR181100057_sc10" "Head" "CS13" "Mac_2" 3.441365957 -3.317226887 6504 186282
"B3_TKR181100057_sc11" "Head" "CS13" "CD7loP" 2.463224888 -3.469811916 5266 48323
"B3_TKR181100057_sc12" "Head" "CS13" "CD7loP" 0.204335794 -0.621794999 5694 92332
"B3_TKR181100057_sc13" "Head" "CS13" "CD7loP" 1.459599853 -3.793563128 3421 49476
"B3_TKR181100057_sc14" "Head" "CS13" "Mac_2" 4.062479496 -3.161136627 3293 44637
"B3_TKR181100057_sc15" "Head" "CS13" "Myeloblast" 1.007304668 -0.694027781 5779 175308
"B3_TKR181100057_sc16" "Head" "CS13" "Mac_2" 4.222704887 -3.162961006 6314 172422
"B3_TKR181100057_sc17" "Head" "CS13" "ErP" -6.679908276 -4.276137829 3785 52434
"B3_TKR181100057_sc18" "Head" "CS13" "CD7loP" 2.864184618 -3.586597204 4041 56987
"B3_TKR181100057_sc20" "Head" "CS13" "Mac_2" 4.824249268 -2.950856924 6236 70804
"B3_TKR181100057_sc21" "Head" "CS13" "CD7loP" 2.548395157 -3.677435875 3775 24203
"B3_TKR181100057_sc24" "Head" "CS13" "CD7loP" 2.852923155 -3.414411545 5201 69149
"B3_TKR181100057_sc25" "Head" "CS13" "CD7hiP" -1.013429046 -3.623873234 2628 53367
"B3_TKR181100057_sc26" "Head" "CS13" "Mac_2" 3.648857594 -3.447443962 3791 105065
"B3_TKR181100057_sc27" "Head" "CS13" "CD7loP" 1.453238726 -3.489546061 4231 77933
"B3_TKR181100057_sc28" "Head" "CS13" "CD7loP" 2.660063267 -3.491655827 5223 41513
"B3_TKR181100057_sc29" "Head" "CS13" "Mac_2" 3.584345102 -3.456215858 7429 267390
"B3_TKR181100057_sc30" "Head" "CS13" "Mac_2" 3.863669395 -3.392562151 5139 222234
"B3_TKR181100057_sc32" "Head" "CS13" "Mast cell" -5.30341959 -3.224081278 5044 82377
"B3_TKR181100057_sc33" "Head" "CS13" "CD7loP" 2.837311268 -3.432714224 4342 106611
"B3_TKR181100057_sc35" "Head" "CS13" "Mac_2" 3.720056534 -3.414551258 3574 46095
"B3_TKR181100057_sc36" "Head" "CS13" "CD7loP" 2.645906448 -3.4853549 2114 21058
"B3_TKR181100057_sc37" "Head" "CS13" "CD7loP" 2.974167824 -3.350769281 2918 22118
"B3_TKR181100057_sc38" "Head" "CS13" "CD7loP" 2.632156849 -3.678960562 2727 16408
"B3_TKR181100057_sc40" "Head" "CS13" "ErP" -6.104637146 -3.385440588 3409 87189
"B3_TKR181100057_sc41" "Head" "CS13" "CD7loP" 1.753219128 -3.700467825 5819 210685
"B3_TKR181100057_sc42" "Head" "CS13" "CD7loP" 2.928622723 -3.569515467 5548 162508
"B3_TKR181100057_sc43" "Head" "CS13" "Mac_2" 3.930217028 -3.291064978 4263 33036
"B3_TKR181100057_sc46" "Head" "CS13" "Mac_2" 3.316917658 -3.278538465 2522 10685
"B3_TKR181100057_sc47" "Head" "CS13" "Myeloblast" 0.732996881 0.042622652 2711 51552
"B3_TKR181100057_sc48" "Head" "CS13" "CD7loP" 1.162115335 -3.915981293 4476 130775
"YS8_TKR181100059_sc49" "YS" "CS13" "YSMP" -4.109692097 -1.16600728 5620 123649
"YS8_TKR181100059_sc50" "YS" "CS13" "YSMP" -4.016455173 -1.560824156 4928 139885
"YS8_TKR181100059_sc51" "YS" "CS13" "YSMP" -4.374295235 -0.261691689 6621 264005
"YS8_TKR181100059_sc52" "YS" "CS13" "YSMP" -4.409302711 -0.517379165 4935 129690
"YS8_TKR181100059_sc53" "YS" "CS13" "YSMP" -4.626360893 -0.720398366 3922 52888
"YS8_TKR181100059_sc54" "YS" "CS13" "YSMP" -6.417973995 -4.310914516 5410 136686
"YS8_TKR181100059_sc55" "YS" "CS13" "YSMP" -4.291080475 -1.162478805 5392 240063
"YS8_TKR181100059_sc56" "YS" "CS13" "CD7hiP" -2.246151924 -3.383472919 3661 25948
"YS8_TKR181100059_sc57" "YS" "CS13" "MkP" -7.176748276 -5.03073597 3318 49902
"YS8_TKR181100059_sc58" "YS" "CS13" "YSMP" -4.054415703 -0.801394701 6478 258554
"YS8_TKR181100059_sc59" "YS" "CS13" "CD7loP" -3.124703646 -2.183158875 6985 82210
"YS8_TKR181100059_sc61" "YS" "CS13" "YSMP" -4.329884529 -0.700784743 5238 103279
"YS8_TKR181100059_sc62" "YS" "CS13" "YSMP" -4.656774521 -0.397843599 5716 160661
"YS8_TKR181100059_sc63" "YS" "CS13" "ErP" -6.28617382 -3.903910637 7005 224427
"YS8_TKR181100059_sc64" "YS" "CS13" "YSMP" -4.673557281 -1.095661044 5058 47362
"YS8_TKR181100059_sc65" "YS" "CS13" "YSMP" -4.097917557 -0.916223943 5720 101707
"YS8_TKR181100059_sc66" "YS" "CS13" "YSMP" -4.561598778 -0.471381575 6266 218880
"YS8_TKR181100059_sc67" "YS" "CS13" "YSMP" -4.606339455 -0.26713255 4445 99737
"YS8_TKR181100059_sc68" "YS" "CS13" "YSMP" -4.026057243 -0.886120737 3912 49512
"YS8_TKR181100059_sc69" "YS" "CS13" "ErP" -6.274311543 -3.495833635 4983 76005
"YS8_TKR181100059_sc70" "YS" "CS13" "YSMP" -4.233795643 -0.505344808 6840 158153
"YS8_TKR181100059_sc71" "YS" "CS13" "YSMP" -4.463805676 -0.818807781 3002 36340
"YS8_TKR181100059_sc72" "YS" "CS13" "YSMP" -4.351854324 -0.654314518 5347 81719
"YS8_TKR181100059_sc74" "YS" "CS13" "GMP" -3.157725096 -1.517679453 2055 44046
"YS8_TKR181100059_sc75" "YS" "CS13" "YSMP" -4.590910912 -0.489941895 4210 40037
"YS8_TKR181100059_sc77" "YS" "CS13" "Myeloblast" 0.074843325 -0.337722778 6081 157435
"YS8_TKR181100059_sc78" "YS" "CS13" "CD7loP" 2.50729394 -3.623832703 2375 14821
"YS8_TKR181100059_sc79" "YS" "CS13" "YSMP" -4.232781887 -1.411339641 3409 39370
"YS8_TKR181100059_sc80" "YS" "CS13" "CD7hiP" -1.596645474 -3.564905405 3664 40830
"YS8_TKR181100059_sc82" "YS" "CS13" "YSMP" -4.368781567 -1.804314733 2199 11873
"YS8_TKR181100059_sc83" "YS" "CS13" "YSMP" -4.931484222 -1.770579457 5169 99109
"YS8_TKR181100059_sc84" "YS" "CS13" "YSMP" -3.928218365 -1.016550303 4863 90355
"YS8_TKR181100059_sc86" "YS" "CS13" "YSMP" -4.709667683 -0.724083424 3868 81513
"YS8_TKR181100059_sc87" "YS" "CS13" "Mast cell" -7.273551464 -2.253119946 2198 15900
"YS8_TKR181100059_sc88" "YS" "CS13" "YSMP" -4.452730656 -0.833781004 2396 10063
"YS8_TKR181100059_sc89" "YS" "CS13" "CD7loP" -2.555072546 -2.950945616 3904 65980
"YS8_TKR181100059_sc90" "YS" "CS13" "YSMP" -4.500110626 -0.521637082 4526 68971
"YS8_TKR181100059_sc91" "YS" "CS13" "YSMP" -3.966698885 -0.993117154 4813 54217
"YS8_TKR181100059_sc92" "YS" "CS13" "YSMP" -4.650831699 -0.86086005 5327 137686
"YS8_TKR181100059_sc93" "YS" "CS13" "YSMP" -4.037611961 -0.956319392 3989 21164
"YS8_TKR181100059_sc94" "YS" "CS13" "CD7loP" -2.5836308 -3.081691504 2617 28676
"YS8_TKR181100059_sc95" "YS" "CS13" "YSMP" -4.496781349 -0.439325303 4823 41718
"YS8_TKR181100059_sc96" "YS" "CS13" "YSMP" -4.640855789 -0.591976225 4540 71951
"H4_TKR181100060_sc49" "Blood" "CS13" "YSMP" -4.51307106 -1.209520102 5645 262067
"H4_TKR181100060_sc50" "Blood" "CS13" "YSMP" -4.174988747 -2.153865337 5995 561899
"H4_TKR181100060_sc51" "Blood" "CS13" "Mac_1" 6.387637615 0.328715235 5869 425065
"H4_TKR181100060_sc52" "Blood" "CS13" "YSMP" -4.508106232 -0.901156843 6122 443332
"H4_TKR181100060_sc53" "Blood" "CS13" "MkP" -7.374298096 -5.263596535 3151 52378
"H4_TKR181100060_sc54" "Blood" "CS13" "Myeloblast" 0.436817765 -0.447480381 7082 601446
"H4_TKR181100060_sc55" "Blood" "CS13" "CD7loP" 3.199021339 -3.370978594 5310 500520
"H4_TKR181100060_sc56" "Blood" "CS13" "Myeloblast" 0.854629457 -0.546700001 4108 57407
"H4_TKR181100060_sc57" "Blood" "CS13" "ErP" -6.0420928 -3.565978765 4967 184794
"H4_TKR181100060_sc58" "Blood" "CS13" "CD7loP" 1.919903517 -3.559824228 3064 115638
"H4_TKR181100060_sc59" "Blood" "CS13" "YSMP" -4.013765335 -1.548403978 2366 27269
"H4_TKR181100060_sc61" "Blood" "CS13" "YSMP" -4.71160078 -2.195407629 5283 248234
"H4_TKR181100060_sc62" "Blood" "CS13" "ErP" -6.63708353 -4.432844162 3103 106989
"H4_TKR181100060_sc63" "Blood" "CS13" "ErP" -6.516150951 -4.105178833 2532 53479
"H4_TKR181100060_sc64" "Blood" "CS13" "MkP" -7.025224686 -4.692216396 3576 68239
"H4_TKR181100060_sc65" "Blood" "CS13" "CD7loP" -1.106359839 -3.188470125 3906 89916
"H4_TKR181100060_sc66" "Blood" "CS13" "YSMP" -3.6050632 -1.98985076 2376 80692
"H4_TKR181100060_sc68" "Blood" "CS13" "YSMP" -3.708088398 -1.725707412 2270 75896
"H4_TKR181100060_sc69" "Blood" "CS13" "Myeloblast" 0.577970862 0.279559523 2193 32679
"FL5_TKR181100053_sc1" "Liver" "CS23" "Mac_3" 6.893332481 -3.914138794 4666 116763
"FL5_TKR181100053_sc2" "Liver" "CS23" "ILC" -2.488230467 -6.306490898 3519 133921
"FL5_TKR181100053_sc3" "Liver" "CS23" "Myeloblast" -0.002939627 0.454002678 5028 86297
"FL5_TKR181100053_sc4" "Liver" "CS23" "Monocyte" 0.959035635 -1.548882127 4158 103561
"FL5_TKR181100053_sc5" "Liver" "CS23" "Mac_2" 6.70800066 -3.772800207 3896 22135
"FL5_TKR181100053_sc6" "Liver" "CS23" "Monocyte" 1.767071605 -1.421586275 2377 10901
"FL5_TKR181100053_sc7" "Liver" "CS23" "CD7loP" 0.769967675 -1.741325855 2461 19271
"FL5_TKR181100053_sc8" "Liver" "CS23" "ILC" -2.50352335 -6.101422787 2861 12059
"FL5_TKR181100053_sc9" "Liver" "CS23" "CD7loP" 0.683011889 -1.860694885 2807 72645
"FL5_TKR181100053_sc10" "Liver" "CS23" "Monocyte" 2.391928673 -1.681436181 3220 98062
"FL5_TKR181100053_sc11" "Liver" "CS23" "Monocyte" 2.039347887 -1.55451715 2116 12302
"FL5_TKR181100053_sc12" "Liver" "CS23" "Monocyte" 2.773283958 -1.783621669 3053 77856
"FL5_TKR181100053_sc13" "Liver" "CS23" "CD7loP" 0.829304039 -1.71686852 3787 137105
"FL5_TKR181100053_sc14" "Liver" "CS23" "CD7hiP" -2.211970568 -3.632806063 4152 166246
"FL5_TKR181100053_sc15" "Liver" "CS23" "Monocyte" 1.1045928 -1.410548091 6109 417009
"FL5_TKR181100053_sc17" "Liver" "CS23" "Mac_3" 6.947681427 -3.833503962 5289 293810
"FL5_TKR181100053_sc18" "Liver" "CS23" "Mac_3" 6.897516727 -3.687556267 5312 211803
"FL5_TKR181100053_sc19" "Liver" "CS23" "Monocyte" 2.297875643 -1.578168869 3711 137729
"FL5_TKR181100053_sc20" "Liver" "CS23" "ErP" -6.611476421 -4.970902443 3952 56087
"FL5_TKR181100053_sc21" "Liver" "CS23" "HSPC" -3.839528799 -3.03316617 3670 44851
"FL5_TKR181100053_sc22" "Liver" "CS23" "Mac_3" 6.833613873 -3.890290499 2976 90430
