,TCGA-NJ-A4YG-01,TCGA-05-4420-01,TCGA-L9-A444-01,TCGA-55-1594-01,TCGA-78-8648-01,TCGA-55-8085-01,TCGA-55-7281-01,TCGA-38-4630-01,TCGA-91-6848-01,TCGA-49-4486-01,TCGA-55-7728-01,TCGA-55-A492-01,TCGA-86-7954-01,TCGA-55-8619-01,TCGA-NJ-A55O-01,TCGA-44-2655-01,TCGA-55-8206-01,TCGA-NJ-A7XG-01,TCGA-MP-A4TK-01,TCGA-J2-8194-01,TCGA-55-7913-01,TCGA-78-7633-01,TCGA-44-3919-01,TCGA-55-A4DF-01,TCGA-64-1677-01,TCGA-95-8039-01,TCGA-86-7714-01,TCGA-O1-A52J-01,TCGA-50-5942-01,TCGA-05-4390-01,TCGA-78-7156-01,TCGA-38-4626-01,TCGA-55-5899-01,TCGA-97-7552-01,TCGA-MP-A4TI-01,TCGA-50-5068-01,TCGA-55-8094-01,TCGA-73-4670-01,TCGA-86-8056-01,TCGA-44-5644-01,TCGA-44-7662-01,TCGA-78-7145-01,TCGA-50-5946-01,TCGA-44-2665-01,TCGA-49-4494-01,TCGA-67-6217-01,TCGA-97-7937-01,TCGA-35-3615-01,TCGA-91-6840-01,TCGA-86-8074-01
CDY14P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA5,2.3,2.6,2.6,3,2.4,2.8,2,2.9,2.8,2.6,2.3,2.8,2.4,2.3,2.4,2.6,2.5,2.5,2.1,2.4,3,2.4,2.5,3.7,2.9,2.8,2.5,2.8,2.6,2.6,3.2,2.5,2.2,2.7,2.3,2.5,2.3,2.8,3.3,3,2.5,2.8,3.2,2.7,2.5,2.7,2.2,3,2.8,3.1
SPEG,0.3,0.8,0.1,1.4,0.5,0.3,0.2,1.3,0.8,0.1,0.3,0.4,0.8,0.5,0.5,0.2,0.5,1.2,0.9,0.2,0.5,0.1,0.8,0.5,0.6,0.7,0.2,0.8,0.3,1.2,0,0.4,0.6,0.4,1.8,0.2,0.8,0.3,0.1,0.2,0.2,0.2,1.2,1,0.3,0.4,0.2,0.1,1.4,0.9
PAPOLA,3.6,4,3.2,4.4,3.7,4.2,3.3,4.9,4.1,4.3,3.4,3.4,4.1,3.4,3.8,4.1,4.2,3.3,3.3,4.2,4.4,4.2,4.1,4.2,3.9,3.4,3.8,3.7,3.7,4.8,4.4,3.8,4.7,4.3,3.8,3.3,4.1,4.4,3.9,4.4,4,4.6,4.2,3.7,3.6,3.7,4.1,3.9,5,4.3
RP11-702F3.3,0,0,0,0,0,0,0,0,0.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0
RP11-1114I9.1,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0
ISL2,0,0.1,0.4,0.3,0.6,0.1,0,0,1,0,0.2,0,0.1,0.2,0,0,0.2,0,0.4,0.1,0.1,0,0.1,0.3,0.4,0,0,0.1,0.1,0.1,0,0.1,0.4,0.3,0.1,0.6,0,0.2,0.1,0.1,0.1,0,0,0,0.2,0.1,0.3,0,0,0.1
AK8,0.9,0.9,0.8,0.6,0.5,0.8,1.3,0.6,0.4,2.1,1.8,1.2,0.9,1.1,0.7,1.5,0.5,0.9,0.7,1.3,1,1.4,1.3,0.6,1,1.3,1.2,0.8,1.6,0.2,2.3,0.7,0.2,2.1,0.5,0.9,1.1,0.2,0.9,0.3,0.6,1,1.6,0.8,0.9,1.3,0.5,1,1.2,0.6
CTD-2529O21.1,0.1,0.5,0,0.5,0,0.3,0,0.2,0.1,0,0.2,0.2,0.3,0,0.2,0,0,0.1,0,0.1,1.5,0,0.1,0.2,0,0,0,0.1,0,0.5,0.2,0.1,1,0,0.1,0,0.8,0.2,0.2,0.6,0.2,0.1,0.2,0.1,0,0.1,0.1,0.1,0.2,0.4
TRAJ19,0,0,0,0,0,0.8,0,0,0.7,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.6,0.5,0.8,0.3,0,0,0,0,0.9,0,0,0.7,0,0,0,0,0,0,0,0,0,0.4,0,0.9,0,0,0,0
AC142528.1,0.2,0.7,0.3,0.5,0.5,0.5,0.1,1.1,0.5,0.5,0.1,0.2,0.2,0.2,0.1,1.5,0.8,0.4,0.3,0.4,0.2,1.2,0.3,0.5,0.4,0.2,0.2,1.1,0.5,0.7,1.2,0.3,1.4,0.5,0.2,0.7,0.8,0.2,0.2,0.9,0.3,0.3,0.7,0.3,0.2,0.1,0.2,0.4,0.2,0.3
RP11-476H20.1,0,0.1,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0.6,0.2
AC003003.5,0,0.1,0,0,0,0.4,0,0,0,0,0.2,0,0.3,0.1,0,0.1,0.2,0,0,0.2,0,0,0,0,0,0.1,0.2,0.1,0.1,0,0.1,0,0.5,0.1,0,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1
INGX,0,0.1,0.1,0.1,0,0.2,0,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0,0.2,0,0.1,0,0,0,0.2,0,0.4,0.2,0.1,0.3,0,0.1,0.1,0.2,0,0,0.2,0.1,0,0,0,0.1,0,0.1,0,0.1,0.1
FAM65A,2.5,2.4,2.9,3.5,3.9,2.6,2.9,2.5,4.6,1.7,4,2.6,3.8,4.3,3.5,2.5,3.6,3.6,3.8,2.6,3.8,2.9,2.6,3.2,1.9,2.8,2.6,3.2,2.8,3.2,2.5,3.5,3.7,3.9,3.9,2.2,2.2,3.3,3.5,2.7,3.5,2.1,2.6,3.6,2.4,2.9,2.5,1.7,2.9,3.4
CTD-2619J13.14,1.2,1.2,1.7,1,1.2,0.9,0.6,1.1,1.3,0.4,1,0.8,1,1.4,1.4,0.5,1.1,1.6,1,1.1,1.5,0.6,1.1,1.4,0.3,0.9,1.3,1.9,1.6,1.9,1,1.1,1.5,1.2,1.1,0.4,1.2,1.2,1,0.9,1,1,1.1,0.9,0.5,1.1,1.7,0.9,1,1.4
RP11-402D21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
RP11-65L19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-125H8.1,0,0,0.3,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0.2,0.7,0.1,0.4,0,0,0,0.1,0,0.1
GAPDHP42,0,0.1,0.2,0,0,0.1,0.1,0.2,0,0,0.1,0,0,0,0,0,0.2,0,0.1,0,0.1,0,0.1,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0,0.1,0.1,0.1,0.1,0
GS1-115M3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTB-5E10.3,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
KRT81,1.1,1.4,1.3,0.1,0.3,0.7,1,1.5,0.1,0.8,0.5,0.8,2.3,0.2,0.4,0.5,1.2,0.6,1.9,0.3,8.4,0.1,0.2,0.2,1,0.6,0.1,0.6,0.1,0.3,0.5,0.2,0.1,0.2,6.3,0.6,0.7,9.7,0.2,0.2,4,0.7,0.9,1.6,0.2,0.8,1.5,0.5,0.4,1.8
KRT8P12,2.2,1.1,2.6,2,2,2.3,1.9,2.8,2,1.4,2.4,2.2,2.1,1.9,1.8,1.2,1.6,2.1,2.2,1.5,2.7,1.5,1.7,2.5,1.8,2.5,1.4,3.1,1.5,1,1.7,1.5,2.1,1.5,2.1,1.5,2.9,1.4,2.4,1.7,2.4,1.4,2.2,2.2,1.3,2.3,1.8,1.6,2,2.4
CTD-2024I7.18,0.4,0.1,0.2,0.2,0,0,0,0,0,0.1,0.2,0.1,0.1,0.2,0.5,0.2,0.1,0.5,0.4,0.2,0.5,0,0.1,0.1,0.5,0.2,0,0.5,0.1,0.1,0.1,0.3,0.2,0,0.2,0,0.6,0,0,0.7,0.4,0.1,0.4,0.7,0.1,0.6,0.2,0.3,0.3,0.1
FOXD4L1,0.2,0.1,0.1,0.1,0,0.1,0.2,0.4,0,0,0.1,0.2,0,0.1,0.1,0,0,0.1,0.2,0,0.1,0.1,0.2,0.1,0.1,0.3,0,0.2,0.1,0,0,0.1,0,0,0.1,0,0,0,0.2,0.2,0.2,0,0,0,0,0.1,0.1,0.1,0.1,0.1
CTD-2184D3.1,0.1,0,0,0.3,0,0,0,0.1,0.2,0.1,0,0.3,0.1,0,0.3,0.8,0.1,0,0,0.6,0,0.1,0,0.2,0.8,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0.2,0,0.2,0,0.4,0.3,0,0.1,0.3,0.3,0.2,0.1,0,0.2,1.2,0,0.2
BTF3P8,0.2,0.1,0,0.1,0,0,0.1,0,0.1,0,0,0,0.1,0,0.1,0.3,0,0.1,0,0.2,0,0,0,0.1,0.1,0.1,0,0,0,0,0.1,0,0,0.2,0,0,0,0,0.1,0,0.1,0.2,0.1,0,0,0,0,0.3,0,0.1
RP11-422J15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0
MIR328,0,0,0.4,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.2,0.4,0,0,0,0,0,0.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR7E154P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB7B,4.2,1.1,2.6,0.9,3,3.7,3.6,1.1,1.3,4,2.9,3.5,3.6,3.1,3,4.2,2.3,4.4,3,3.9,0.8,2.2,2.3,1.1,1.9,5.2,4.1,3.4,1.7,1,2.6,3.5,1.5,2,4.1,2.9,1.6,1,1.8,0.5,1.4,3.2,1.3,4.8,3.6,3.4,2.6,3,1.2,3.7
FAM133DP,0,0.1,0.1,0,0.1,0,0.1,0.1,0.3,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0,0.3,0.1,0.1,0.3,0,0.1,0.2,0,0.1,0.1,0,0.1,0,0.1,0.3,0,0,0,0.2,0.4,0.1,0.1,0.1,0.1,0.3,0.1,0,0.1,0.1,0.1,0.3
FOXD4L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
RP5-1039K5.12,0.8,0.5,0.8,1.4,1,0.8,0.8,1.8,2.3,0.3,1,1.1,0.7,1.3,0.9,0.7,1,0.8,0.7,1.2,0.8,0.8,0.9,0.7,0.3,0.8,1.2,0.8,1.4,0.6,0.6,1.1,0.7,0.8,1.7,0.2,0.6,0.5,0.5,0.7,0.7,0.6,1.3,0.7,0.5,0.8,1.2,0.8,0.5,0.7
RP11-102C16.3,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF70P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
RP11-1060G2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKR3,3.2,3.3,2.5,2.5,5.4,3.3,3.7,4.9,3.7,2.2,1,2.8,2.6,2.5,2.5,2.9,2.3,0.7,5,5.2,1.8,3.4,2.7,5.2,2.6,1.8,0.8,2.8,1.7,3,2,3.2,3.3,1.9,4.1,4,0.9,2.9,1.7,2.8,3.6,2.9,2.4,4.9,1.9,2.1,2.2,4.3,2.7,3.6
RNF17,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
NDUFB11P1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL22P19,0.1,0,0.3,0,0,0.1,0,0.1,0,0,0.1,0.1,0,0.1,0.1,0.2,0.1,0.2,0.1,0,0.1,0,0.1,0.3,0.3,0.1,0.3,0.3,0.1,0,0.1,0.1,0,0,0,0,0.1,0.1,0,0.4,0,0,0.2,0.1,0,0.1,0.1,0.2,0.1,0.1
INO80,2.5,1.7,2.7,2.9,2.9,3.1,2.3,2.3,3,1.9,2.7,2.2,3,3.1,2.7,2.7,3.4,2.5,2.7,3.1,3,2.7,2.5,2.4,1.4,3.1,2.9,3,3.1,2.2,2.8,3,2.7,3.3,2.9,1.4,2.3,2.6,3.1,2.7,2.6,2.5,2.7,2.5,1.6,3,2.9,2.4,2.8,2.7
IGLL5,4.9,5.2,6.4,4.5,8.6,6,3.4,3,7.9,4.1,5.4,4.6,4.4,5.9,3.7,4.4,5.5,1.7,7.5,2,3.6,0.4,5.9,6.3,6.9,2.8,2.1,2.3,6,6.3,2.7,2.2,4.1,6.7,4.3,5.9,1.6,5.2,3.6,4.3,6,2.5,3.6,2.5,4.1,5.2,2.4,4.7,4.9,4.6
RP11-71L14.3,0.2,0,0.1,0.1,0.1,0.2,0,0,0.1,0.1,1.4,0,0.1,0.4,0.1,0,0.4,0.1,0.1,0.1,0.2,0,0.1,1.4,0,0.1,0.1,0.6,0.1,0,0.1,0,0.4,0.5,0.2,0,0.2,0,0.2,0.2,0.1,0,0.1,0,0,0.2,0.2,0,0.1,0
LINC01519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-507D14.4,0,0.1,0.2,0,0,0.1,0,0.2,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
PHB2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
RP11-169D4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDC,0.4,0.3,0.2,6.8,0.3,2.5,0,0,0.2,2.4,0.6,2.2,1.8,0.7,0.6,0.5,2.4,0.1,0.1,0.2,0.2,0.6,0.1,0.3,0.6,0.3,0.1,3.4,0.8,2.7,1.8,0.9,7.7,1.2,0,0.2,4.2,0.6,0.1,5.6,0.1,0,0.1,0.2,0.2,0.5,0,1,0.4,0.1
LINC01481,0.1,0.2,0.1,0,0,0.1,0,0.1,0,0.1,0.5,0.5,0.1,0.1,0.1,0.1,0.3,0.1,0.5,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0,0.1,0.1,0.5,0.1,0.1,0,0.2,0.2,0.5,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2,0.1
CH17-472G23.4,1.1,0.3,1.1,0.6,1.2,0.8,0.3,0.6,1.3,0.1,1.2,0.1,1.2,1.1,0.9,0.2,1.4,0.9,1,0.6,0.3,0.4,0.6,1,0.2,1,1.1,0.9,0.9,0.6,0.5,0.6,0.4,0.9,1.3,0.5,0.7,0.2,1.4,0.6,0.8,0.2,1.4,0.6,0.1,1,0.6,0.4,0.6,0.9
PLS3,6.8,3.6,5.7,5.1,5,4.7,7.2,2.6,4.9,5.3,3.4,5.6,5.1,5,5.2,5.8,5.1,6.4,6.9,5.9,4.3,5.9,6.7,5,6,7.3,6.1,7.3,5.2,4.2,6,5.1,4.5,4.8,5.8,5.3,4.2,6.2,4.8,4.8,5.1,8.2,4.5,5.8,5.5,6.5,5.9,5.4,4.9,5.8
AL591704.5,0,0,0.1,0.2,0,0,0,0,0.1,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0.3,0,0,0,0,0.1,0,0.1
GJB4,0.4,0,0,0.1,0.1,0,0.3,0.1,0,0.1,2.1,0,0,1.6,0.1,0.1,0,0.3,0.3,0.1,0.1,0,0.7,0.6,0.1,0.1,0,0,0.1,0,0,0,0,2.5,0,0,0,0.7,0.1,0,0.1,0.1,0,0.9,0.2,0,0,0,0.3,0
CTD-2540M10.1,0,0,0,0,0,0.1,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0.1,0,0.3,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.2
RP11-490M8.1,1.1,0.5,2.3,0.7,1.6,0.3,1,1.5,1.5,1.9,1.8,1.9,1.1,2.1,1.8,1.9,1.9,1.8,1.8,0.9,1.6,0.7,1.3,1.9,2.4,1.9,2,2.3,2.5,2.4,0.7,1.6,1.1,2.3,1.1,3.7,3.1,1.1,1.2,3.2,1.7,1,1.4,1.6,2.3,1.2,2,1.1,1.9,1.5
RP11-257O5.2,2.2,1.4,2.5,2.1,1.4,2.2,1.7,2,1,1.2,2.5,1.8,1.6,1.5,1.7,1.3,2.2,2.7,1.9,1.8,1.6,2.1,2,2.8,1.4,2.4,2.2,2.5,1.9,1.9,2.5,1.3,1.8,1.3,1.7,1.4,2.7,1.1,2.6,3.1,1.9,1.9,2,1.5,0.8,2.1,2.7,1.6,1.8,1.8
RNU6-1262P,0.3,0.3,0.4,0,0,0.2,0,0.7,0.5,0,0.7,0,0.9,0,1.2,0.4,0.8,0.9,0.3,0.6,0,0,0.4,1.3,0,0.8,0.5,1.7,0.6,0,0.3,0.5,0,0.5,0.6,0,0.3,0.3,0.5,0.4,1,0.3,0.8,0.2,0,1.6,1.2,0.7,1.1,0.3
ZNF625-ZNF20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0
AL161752.1,0,0,0.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-199J3.6,0.1,0,0.1,0,0,0,0.1,0,0.1,0.1,0.1,0.3,0.1,0.1,0,0.1,0.1,0,0,0.1,0,0,0.1,0.1,0.1,0.2,0.1,0.1,0,0,0,0.2,0.1,0,0.1,0.1,0,0,0.1,0,0.1,0,0,0.1,0.1,0.1,0,0.2,0,0.1
AP001412.1,0.6,0.2,0.5,0.3,0.4,0.3,0,0.5,0.4,0.2,0.2,0.7,0.3,0.3,0.1,0,0.4,0.7,0.2,0.1,0.2,0.2,0.3,0.6,0.4,0.3,0.2,0.3,0.3,0.4,0.2,0.1,0.2,0.1,0.6,0.6,0.2,0.2,0.2,0.6,0.2,0,0.1,0.2,0.1,0.2,0.3,0.3,0.4,0.1
LNX1,1.2,1.8,1.6,2.8,0.6,0.9,1.6,1.4,0.7,1.5,1.5,1.3,1.6,1.5,0.7,1.7,1.7,1.9,1.7,2.5,1.1,1.8,1.3,2.3,1,1.6,2.1,1.7,1.2,1.4,2.5,1,2.8,2.4,0.9,1.5,1.4,1,1.2,1.9,1.1,2,2.8,2,1.1,1.3,1.4,1.3,1.2,1.8
RP11-579D7.8,0.1,0.2,0.2,0.1,0,0.2,0.1,0.5,0,0,0.2,0,0.2,0.1,0.1,0,0.1,0.5,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.7,0.2,0.3,0.1,0.6,0.1,0.1,0.2,0.2,0,0,0.1,0.3,0,0.1,0,0.2,0.2,0,0.1,0.1,0.1,0.2,0.2
RNA5SP364,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0.2,0,0,0.5,0,0,0,0,0.2,0,0,0,0,0.4,0,0,0,0,0.4,0,0,0,0,0,0,0.2,0,0,0.2,0,0.3,0.3,0,0.4,0.3,0,0.9,0
B4GALT1,5.7,6.2,6.6,6.1,6.6,6.1,6.5,5.8,5.7,6.6,4.6,4.8,6.1,5.4,5.4,5.7,5.3,5.1,5.8,7.1,6.6,4.9,6.2,7.5,5.5,5.1,6,4.9,5.3,6.5,5.1,6,6.1,5.5,5.9,4,5.9,7.4,6,6.1,6.2,6.7,7.4,6.8,6,5.5,5.9,6.1,5.7,5.4
HM13-AS1,0.2,0.4,0.3,0.4,0.1,0.5,0,0.5,0.2,1.2,0.4,1.4,0.2,0.3,0.5,0.7,0.2,0.5,0.3,0.2,0.2,0.2,0.4,0.6,0.4,0.3,0.1,1,0.6,0.3,1.3,0.3,0.9,0.2,0.1,0.3,0.2,0.1,0.2,0.5,0.2,0.1,0.8,0.1,0.1,0.5,0.4,0.4,0.7,0.3
RP11-322N21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-785J1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP273,0,0,0,0.1,0,0,0.1,0,0.2,0,0,0.1,0.2,0,0,0.1,0.1,0,0.2,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.1,0,0
PLCXD1,1.9,2.5,3.1,3.9,3.3,2.7,2.1,3.3,1.2,1.3,3.1,1.7,3.8,3.3,2.4,1.3,4,2.6,1.8,3,3,2.2,3.3,3.5,1.4,1.9,2.2,6.3,2,4.8,1.8,3.3,0.9,2.5,2.1,2.5,3,2,1.5,1.4,2,3.7,1.2,2.1,1.5,2.6,2.3,0.9,4.2,2.5
CU104787.1,0,0,0,0.4,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0
TEPP,0.2,0.1,0.2,0.5,0.3,0.1,1.1,0,0,0.3,0.3,0.4,0.3,0.7,0.3,0.5,2.1,1.4,0.2,0,0,0,1.1,0,0.1,1.8,1.8,3.5,1.5,0.1,0.1,0.4,0,0.1,0.1,1,0,0,0.9,0.2,0,0.1,1.3,0.9,0.1,1.5,1,0.1,3.4,0.4
MIR4750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASCC3,1.9,2.2,2.1,2.9,2.3,1.8,2.1,2.4,2.9,1.5,1.5,2.1,3.5,2.2,2,2.6,2.9,3.5,2.5,2.5,2.3,1.8,2.8,3.1,1.8,2.7,2.4,2.7,2.2,2.5,2,2.5,2.7,3,2.3,1.5,2.1,2.9,2.5,2.2,2.9,3.5,2.5,2.4,2.2,2.7,2.6,1.5,3.2,2.9
TTC13,3.5,2.8,3.4,3.1,2.2,2.9,2.2,2.7,2.6,1.6,3.2,2.7,2.7,2.8,3.2,2.6,3.3,2.8,2.6,2.9,4.1,2.4,2.4,3.3,2.7,3.6,2.3,3,2.1,2.3,1.9,2.2,3.4,2.3,2.6,2.2,3.1,3.2,3.2,2.8,3.1,2.7,3.2,3.1,1.7,3.6,3.2,2.6,2.6,2.9
RP11-321N4.4,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1
RP11-101B14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PANK1,0.5,1.3,1,0.7,0.7,1.7,0.3,1.3,0.4,1.5,0.2,1,0.9,0.6,0.9,0.8,0.8,0.7,0.9,2,1.8,2.2,0.7,1.4,0.6,0.9,1.3,0.9,0.7,1.1,2.2,1.1,1.3,0.7,0.6,0.9,1.5,1,1.4,0.7,0.9,1,2,0.6,0.4,0.9,1.4,1.4,2.5,1.4
TIGD2,1.5,2.8,1.9,1.6,2.1,1.5,1.9,1.6,2.4,2.5,1.6,2.6,3.5,1.7,2.2,2.1,2.8,2.5,1.7,1.7,2.2,2.3,2.6,2.1,2.4,2.4,3.2,2.2,2.3,1.7,3.3,1.7,2.3,2.3,1.9,2.9,1.6,1.6,2.3,2.1,1.9,2.1,2.3,2.5,2.4,2,2.2,2.1,3.1,2.1
AC141928.1,0.1,0.1,0,0,0.1,0.1,0,0.4,0.2,0,0.1,0.1,0,0.2,1.2,0.1,0.1,0,0.1,0,0,0,0.1,0,0,0.1,0.2,0,0.1,0,0,0.1,0.2,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0.5,0
BNIP3P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
EMX1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0
ZNF275,1.8,2.1,3.4,2.5,2.7,1.9,2,2.7,2.7,1.3,1.6,1.3,3.2,2.5,2.2,1.6,2.8,2.3,2.3,2.4,2.7,1.9,2.1,2.8,1.3,2.7,2.4,2.4,2.4,1.9,2.1,2,1.5,2.5,1.7,0.9,1.8,2.5,2.8,2.8,1.8,2.3,2.2,2.3,1.4,2.9,2.8,1.4,2,2.7
