,TCGA-56-5898-01,TCGA-92-8064-01,TCGA-63-A5MG-01,TCGA-22-4596-01,TCGA-37-4130-01,TCGA-43-5668-01,TCGA-56-7582-01,TCGA-63-A5MN-01,TCGA-39-5030-01,TCGA-22-5472-01,TCGA-XC-AA0X-01,TCGA-60-2721-01,TCGA-34-5239-01,TCGA-77-8131-01,TCGA-94-8490-01,TCGA-66-2782-01,TCGA-21-1082-01,TCGA-85-A511-01,TCGA-52-7812-01,TCGA-90-7769-01,TCGA-NC-A5HG-01,TCGA-NC-A5HI-01,TCGA-56-7580-01,TCGA-18-3416-01,TCGA-85-7950-01,TCGA-56-8622-01,TCGA-22-5482-01,TCGA-18-3408-01,TCGA-63-A5MI-01,TCGA-66-2777-01,TCGA-85-8070-01,TCGA-77-8136-01,TCGA-66-2778-01,TCGA-98-A53H-01,TCGA-66-2787-01,TCGA-66-2783-01,TCGA-85-8351-01,TCGA-77-8140-01,TCGA-22-A5C4-01,TCGA-85-8287-01,TCGA-NC-A5HH-01,TCGA-NK-A7XE-01,TCGA-37-4135-01,TCGA-58-A46M-01,TCGA-94-A5I4-01,TCGA-37-3792-01,TCGA-98-A53A-01,TCGA-39-5011-01,TCGA-39-5022-01,TCGA-77-8128-01
RP11-817J15.3,0.9,0,0.2,0.2,0,0.1,0,0.1,0,0.6,0,0.1,0.4,0.1,0.2,0,0.3,0.1,0.1,0,0,0.1,0.3,0,0.2,4.9,0.1,0.1,0.6,0.2,1.3,0,0.1,0.6,0.1,0,0.1,0,0.2,1.4,0,0.5,5.6,0.1,0,0.2,0,3.4,0.4,0.1
RP13-213K19.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTH1R,0.6,0.4,0.7,1.3,0.1,0.3,0.3,0.7,0.6,1,0.4,0.5,0.7,1.3,0.4,0.5,0.4,0.9,0.3,0.2,0.1,0.2,0.5,0.1,0.3,1,0.5,0.1,0.1,0.5,0.2,0.6,0.3,1.7,0.3,0.3,0.4,0.3,0.3,0.7,0.5,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.7,0.5
AL137795.1,0,0,0,0,0.3,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-613B23.5,0,0.1,0,0.1,0,0,0,0.1,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0.3,0,0,0.2,0,0,0,0,0,0.1,0,0,0,0.1,0.3,0,0,0,0.1,0.1,0,0.1
NEGR1-IT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEFV,0.2,0.6,0.4,0.6,0.4,0.4,0.2,0.4,0.5,0.3,0.2,0.4,0.3,0.5,0.1,1.3,0.3,0.4,0.2,0.2,0.1,0.2,0.2,1.2,0.6,0.1,0.1,0.3,0.2,0.6,0.1,1.1,0.4,0.8,0.3,0.2,0.3,0.2,0.2,0.4,0.1,0.2,0.2,0.4,0.2,2.3,0.2,0.5,0.5,0
RP11-732A19.1,0.1,0.2,0.5,0.2,0.6,0.2,0.1,0.2,0.3,0.2,0.5,0.3,0.1,0.3,0,0.2,0.4,0.5,0.2,0,0,0.2,0.1,0.5,0.3,0.2,0,0.1,0.1,0.1,0,0.1,0,0.6,0.1,0,0,0.1,0.1,0.1,0,0.2,0.2,0.3,0.1,0,0.2,0.1,0.4,0.1
RP11-44D5.1,0,0.1,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1
RP11-126F18.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
RPP30,2,2.4,2.2,2.4,3.4,1.7,2.1,1.9,2.3,2.7,1.9,2.6,2.4,2.1,2.8,2.5,2.8,2.7,3.1,2.6,2.8,2.5,2.2,3.1,2.2,2.2,1.7,3.2,2.2,2.9,3,2.5,3.2,2.2,2.7,2,2.2,2.2,2.8,2.1,3.2,2.5,3.6,2.3,2.4,3,2.4,2.4,2.3,3
RP11-163F15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0
FBXO21,2.9,3.3,3,3,2.6,3.6,3.8,3,3.3,3.4,3.2,3.6,3.5,2.4,3.4,2.6,2.3,3,2.9,2.6,3.5,3.2,3.5,3.2,3.5,3.2,2.9,3.6,3.1,3.4,3.7,2.9,2.6,3,3.4,3.4,3.3,3.4,3.4,3.3,3.4,2.6,2.3,3.4,3,2.9,4,3.2,3,3.6
RASSF5,3.1,3.8,3.3,3.6,2.2,3.7,2.6,3.4,4.3,4.2,3.5,4.3,3.9,3.6,3.2,2.8,3.6,3.3,2.5,3.2,1.1,2.3,2.9,3.2,3.2,3.1,2.9,2.7,1.3,3.1,1.9,3.2,2.8,3.7,2.4,2.6,2.9,3.7,2.2,3.2,1.9,1.9,1.5,3.1,1.8,3,2.4,2.6,3.4,3.2
XXbac-BPG32J3.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL370P,0.1,0,0,0,0,0.2,0,0,0,0,0,0.1,0.1,0.3,0,0,0.1,0.2,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
COX7CP1,0.6,0.6,0.8,0.5,1.2,0.3,0.6,1.3,0.4,0.2,0.5,0,0.3,1.3,0.1,0,0.1,0.4,0.6,0.4,0.5,1.3,1.2,0.6,0.4,0.4,0.2,0.6,0.7,0.1,0.8,0.8,0.8,0.5,0.3,0.7,0.1,0.8,0.9,0.7,1.5,0.6,0.9,1.7,1,0.3,0.5,0.8,0.5,0.3
SNORD20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-253M7.6,0.1,0.1,0.1,0,0,0,0.1,0.4,0,0.1,0.1,0.1,0,0.2,0.1,0,0.2,0.2,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0.1
RP11-554I8.2,1.1,0,0.7,0.1,0,0,1.5,0.5,0.1,1.7,0.4,0.1,0,1,1.9,1,0.4,0.4,2.1,0,0.1,0,0.6,0.9,0,0.2,3,1.9,0,0.2,0,0.9,0.3,0.3,0,2.5,0.4,0,2.4,0,0.2,0.4,0.2,0,0.4,1.5,0.7,1.6,1.7,0
CSF3,0.2,0.2,3.2,0.8,0,0,0,0.9,0.1,0.6,1.7,0,0.1,0.4,0.3,0.6,0.5,0.8,0.6,1,0.2,0.2,0.9,0.4,0.2,0.4,0,0,0.1,1,0.2,1.7,0.8,2.5,0,1.8,3.3,0.2,0.6,0.4,0.3,1.4,0.2,0.2,0.8,4.2,0.1,0.4,0.2,0.4
C9orf153,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0,0.1,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0.1,0,0.1,0,0,0,0.2,0.1,0.1,0.1,0.1,0,0,0
CTC-1337H24.3,0,0.2,0.1,0.2,0,0.1,0.1,0.6,0.1,0.1,0.4,0.3,0.1,0.2,0.2,0.5,0.3,0.2,0.2,0.1,0.2,0.5,0,0.2,0.2,0.1,0,0.2,0.1,0.2,0.2,0.3,0,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.5,0.1,0.4,0.1,0,0.1,0.5,0,0.1,0.2
PABPC1P12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS6KL1,0.6,0.3,0.3,0.3,0.4,0.1,0.4,0.4,0.5,0.5,1.4,0.5,0.4,0.2,1.7,0.4,0.7,0.7,0.2,0.6,0.7,0.5,0.2,0.2,0.1,1.2,0.1,0.2,0.7,0.6,1.1,0.1,0.1,0.9,1,0.1,0.6,0.2,0.8,0.5,0.8,0.5,0.3,0.1,0.8,0.4,0.2,0.2,0.5,0.7
THUMPD3-AS1,0.9,1.2,1.4,1.5,2,1.7,0.8,1.8,1,0.9,2.2,1.4,1,1.1,1.2,1.4,2,1.9,1.3,1.2,1.9,1.9,1.4,1.6,1.6,0.9,0.9,1.3,1.5,1.6,1.9,1.4,0.9,1.8,1.4,1,1,1.7,2.2,1.3,2.4,2,2.5,2.2,1.8,1.5,1.9,1.3,1.5,1.6
RPS3AP30,0,0,0,0,0.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,0,0.2,0,0
AFAP1,2.4,2.6,3.3,2.5,1,2.8,2.1,3,4,2.4,2.6,2.8,3.8,2.4,1.7,3,2,3.3,1.8,2.2,1.4,2.3,4,2.8,3.6,3,2.4,1.7,2.6,2,1.8,3.2,1,2.9,2.8,1.8,2.9,3.1,3.2,3.7,2,2.1,1.2,1.7,3.7,2.2,3.2,2.2,2.3,2.7
OR2J4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-384L8.1,0.9,0.3,0.3,0.8,0.7,2,0.9,1,0.2,1.4,1.3,0.4,0.4,0.4,0.4,0.2,1,0.2,1.4,0.9,0.6,0.3,0.7,0.2,0.1,0.6,0.2,0.3,1.1,0.8,1.1,0.2,0.4,1.4,0.8,0.4,1,0.7,1.3,0.6,0.3,0.6,0.9,1.3,1.1,1.3,1.1,1.9,0.7,1.6
AP001063.1,0,0.1,0,0.1,0,0.1,0.1,0.1,0.3,0,0.1,0,0.1,0.2,0.1,0,0.1,0.2,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0.2,0,0.1,0,0.1,0.1,0,0.1,0,0.2,0.1,0,0.1,0,0.1,0,0.1,0,0,0.2,0
USP32P2,0,0.1,0,0.1,0,0,0,0.1,0,0,0.1,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1
RP11-72B4.2,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0.1,0,0,0.1,0,0
RP5-1147A1.2,0,0,0.4,0.2,0.3,0,0,0,0.4,0,0.4,0.6,0,0,0,0.4,0.1,0.3,0,0,0.2,0.3,0.6,0,0.2,0,0.1,0,0,0,0.2,0,0,0,0.2,0.2,0.2,0,0.3,0.2,0.2,0.2,0,0.5,0,0,0.2,0,0.2,0.2
NECAB2,0.1,0.1,0,0.6,0.3,0,1.7,0,0,0,0.5,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.9,0,0.1,0,2.6,0.1,0,0.7,0.2,0.1,2.2,2.3,0.1,0.1,0.4,0.5,0.6,0,0,1,0.1,0.1,0.8,0.1,0.8,0.5,0.4,1.1,0,0.7,1.5
TRDMT1,0.5,0.4,0.7,0.7,1,0.8,0.5,0.7,0.6,0.7,0.6,0.6,0.8,0.5,0.3,0.5,0.4,0.6,0.5,0.5,0.2,0.6,0.6,0.5,0.4,0.8,0.6,0.7,0.6,0.4,0.3,0.5,0.5,0.7,0.6,0.3,0.6,0.4,0.8,0.6,0.9,0.4,1.1,0.6,0.5,0.6,0.7,0.8,0.6,0.4
SEPT7P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
ZNF141,0.8,1,1.2,1.3,1.1,1.1,0.8,1.1,1,0.6,1.1,0.8,1,0.7,0.6,1.1,1.8,1.2,1.1,0.5,0.8,1.1,1.2,1.2,1.3,0.6,0.7,1.1,1.2,0.7,0.7,1.2,0.5,1.2,0.5,0.5,1.2,0.9,1.4,1.3,1.1,0.8,1,1.2,1,1.6,1.1,1.4,0.8,1
RP11-74M13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS4A18,0,0,0,0,0,0.3,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0
SLC39A3,2.2,2.1,2.3,2.3,1.9,2,2.1,2,2.5,2.3,1.9,2.1,2.2,2.3,3.1,2.4,3.4,1.9,2.9,2.6,2.1,2.3,2.1,2.1,2.8,2.5,2.5,1.7,1.8,2.5,2.2,2,3.6,2.3,3.1,3,2,2,2.7,1.8,2.4,2.6,2.3,2.7,2.3,2.4,2.1,2.3,2.7,2.2
TRMT1,3.3,4.4,3.9,3.6,3.5,2.7,3.1,3.1,3.2,3.6,3.6,3.5,3.9,3.6,4.1,3.8,4.6,3.7,3.6,3.3,5.5,3.8,4.1,4.3,4.3,3.6,2.8,1.9,3.4,2.9,3.8,3.2,3.3,3.5,3.8,3.1,4,4.4,3.4,3.4,4,3.8,5,4.8,3.8,3.5,3,3.1,3.4,3.6
UBE2FP3,0,0.3,1.2,0.3,0.4,0.2,0.5,0.2,0.5,0.5,1.2,0.7,0.7,0.3,0.5,1,1.3,0.6,0.2,0.5,0.7,1.7,0.9,1,0.4,0.6,0.5,0.3,1.6,0.2,1.4,0.6,0,1.2,0.2,0,0.8,1.9,1.2,0.5,1.5,0.5,0,0.4,0.7,0.7,1.2,0.2,0.3,0.6
AC114302.1,0,0.7,0,0,0,0,0.5,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.6,1.1,0.2,0.3,0.2,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0.6,0,2.3,0,0,0,0,0,0
RASSF1-AS1,0.3,0.3,0.4,0.3,0.4,0.6,0.2,0.3,0.2,0.2,0.5,0.3,0.3,0.8,0.1,0.6,0.8,0.2,0.4,0.4,0.4,0.1,0.1,0.4,0.3,0.2,0.2,0,0.4,0.5,0.5,0.2,0.5,0.4,0.6,0.4,0.1,0.1,0.4,0.4,0.6,0.1,1,0.5,0.2,0.3,0.3,0.4,0.4,0.3
MIR31HG,0.2,0.8,2.2,0.6,0,0,0.3,0.3,0.3,1.5,0.7,0.1,0.7,0.3,0,4,0.4,0.2,0.1,0.1,0.5,0,0,0.8,0.5,0.6,0.8,1.1,0.4,0.2,0.3,4.1,0,0.5,0.1,0.2,1.2,0,3.1,0.7,0.7,1.7,0.3,0.2,0.1,3.8,0.3,1.5,1,0
GPR62,0.1,0,0,0,0,0.5,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0,0.3,0.1,0,0,0.2,0.1,0,0,0,0,0.1,0,0,0.1,0.1,0,0.1,0.1,0,0,0.1,0,0.2,0.1,0.1,0,0.1,0,0.1,0,0.2,0,0.1,0.2
KLF2,2.5,3.4,2.9,3.3,2.2,2.8,1.4,3,2.8,3,2.9,1.7,2.7,3.7,1.6,2.8,3.4,2.4,3.1,1.5,1,1.1,1.3,1.7,2.8,2.5,1.7,0.9,1,3.2,2.5,2,1.8,4.5,2.7,2.5,2.8,1.1,2,3.8,2,1.8,1.7,1.7,1.9,3.7,1.8,2.8,3.1,1.9
POU6F2-AS2,0.7,2.2,1,2.5,0.1,0.2,1.7,0.5,0.4,0,1.2,2.1,0.7,0.9,1.5,0.1,2.1,0.9,0.1,1.5,1.4,2.5,1.9,0.7,1.8,1.4,2,2.9,2.2,0.4,0.6,2.4,0.8,0.2,0.4,0.7,0.3,0.3,1.9,1,1.6,1.7,0.8,2.2,1.4,0,0.8,0.8,1.2,0.6
RAB2B,3.1,4.4,3.4,2.9,2.8,3.3,2.6,3.1,3.1,3.1,2.6,3.2,2.8,2.6,2.8,3.3,3.7,3.2,2.5,1.8,2.8,3.1,3.4,2.8,2.9,3.4,2.7,3.8,2.6,2.4,2.8,3.5,2.9,3,2.7,2.6,3,2.7,3,3.2,2.8,2.2,3.7,3.4,2.5,3.3,3.1,3.3,3.1,2.8
DYRK1B,3.9,2.8,3.2,2.9,2.1,4,2.5,3.2,2.8,3.7,4.1,3.9,2.9,3.2,2.1,3.7,3.2,2.8,2.9,2.8,2.2,3.1,3.8,2.2,2.9,4,2.9,1.6,2.9,3.7,3.1,3.2,2.2,3.4,3.2,3.6,2.7,3.3,3.6,3.1,4.3,3.8,1.9,2.3,3.6,2.8,4.5,2.7,2.8,5.1
RP11-187A9.3,1,0.9,1.2,0.3,0.2,0.9,1,0.7,0.6,1,0.8,1.5,0.6,0.4,0.3,0.6,0.8,0.8,0.3,0.4,0.7,0.9,0.4,0.4,0.1,0.8,0.5,0.7,0.8,0.4,0.7,0.8,0.1,0.2,0.8,0.2,0.5,0.5,0.3,1.1,0.8,0.3,0.3,1.2,0.7,0.2,0.6,0.4,0.5,0.9
RAD54B,0.3,0.9,0.9,0.6,1.4,0.8,1.1,0.5,0.8,0.5,0.5,0.5,0.7,0.6,0.8,1.5,1.1,1.2,1.2,0.7,1.1,1.1,0.8,1.5,0.9,0.2,0.7,0.9,1.2,0.6,0.7,1.1,1,0.5,0.9,0.8,0.6,1,1,0.9,1.3,1.2,1.1,1.3,1.6,0.7,1.4,0.8,0.5,1.2
AC078899.3,0,0,0,0,0,0.1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
MIR543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC132217.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL32P34,0,0.2,0.1,0,0.5,0,0.2,0.2,0.2,0.2,0,0,0.1,0.1,0,0,0.2,0.6,0,0.1,0,0.1,0.2,0.2,0.2,0.1,0,0.3,0,0.1,0.2,0,0.1,0.1,0.1,0,0,0.1,0.1,0,0.1,0,0.3,0.4,0,0.1,0.2,0.2,0,0.1
FBXO36P1,0.1,0,0,0.4,0.1,0.3,0,0.1,0.1,0,0,0.1,0.2,0,0.1,0.1,0.8,0.2,0.1,0,0,0.1,0,0.1,0,0.1,0,0.1,0.4,0.1,0.3,0.2,0,0.1,0,0.1,0.2,0,0,0,0,0.1,0,0.2,0.1,0.1,0.2,0.1,0.1,0.1
RP11-296A16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC235953.1,0,0,0,0,0,0,0,0.6,0,0,0,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASC5,1,1.8,1.4,0.9,2.2,1.3,2.3,1,1.2,1.6,1.5,2,1.9,1.5,1.9,1.3,1.8,1.9,2,1.6,1.5,1.3,1.7,1.9,2.3,0.3,1.4,1.3,2.1,1.6,2,2,1.1,1.1,2.3,1.5,1.4,1.5,1.9,1.3,2.1,1.8,1.8,2.7,2.1,1.8,2.3,1.1,1.3,2.1
TUSC7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
MIR4267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-834C11.14,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-46I1.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.1,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0.1,0,0,0
RP11-662G23.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,1.1,0,0,0,0
RP11-359K18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
RP11-429A20.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0
PLGLB2,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0
RP11-196B3.1,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0,0
RP11-319C21.1,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0
CEP44,2.1,2.9,1.6,1.9,2.6,1.5,1.4,1.5,1.6,1.8,1.4,1.9,1.7,1.6,1.4,2,1.6,1.8,1.9,0.8,2.4,2.1,3,1.5,2.1,1.8,1.7,2.8,1.8,1.1,1.6,1.4,1.6,1.8,1.7,1.9,1.9,2,1.4,1.8,2,1.3,2.7,1.9,1.6,1.9,1.9,1.5,1.5,1.5
RPS27P23,0.5,0,0.3,0.2,0.9,0.1,0.1,0.4,0.3,0.5,0.1,0.2,0.3,0,0.2,0,0.3,0,0.1,0.1,0.4,0,0.8,0.1,0,0.1,0.2,0,0.5,0.4,0.2,0.3,0.3,0.1,0.4,0.1,0.1,0.3,0.7,0.1,1.2,0,1.6,1.9,0.9,0.3,0.1,0.5,0.3,0
RP11-203F10.5,0,0,0,0.2,0,0,0,0.1,0.2,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0.1,0.1,0.1,0.2,0.1,0.1,0,0,0.1,0,0,0,0.2,0.1,0
TRIM40,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD-2194D22.5,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.3,0,0,0,0,0,0,0,0,0
AL713999.1,0.3,1.1,0.4,0.3,0.8,0.2,0.3,1.2,0,0,0,1.4,0.6,0.4,0.8,0.2,0.7,0.6,0.3,0,1.5,0.7,0.8,1.3,0,0.6,0.4,0,0,0.3,0.8,0,0,0.5,0.3,0.3,0.3,0.8,0.9,0,0.3,1.1,0,0.3,0,0.8,0.8,0.8,0.4,0.6
SNORD14A,2.2,2.6,3.4,2.2,3.8,1.3,1.7,3.7,1.2,2.4,3.5,2.8,3.1,2.3,1.6,3,3.4,2.6,2.4,2.1,4.1,3.4,2.3,2.9,2.1,2.6,1.6,2.5,2.6,1.8,4,2.4,1.2,2.7,2.6,1.5,2.2,2.8,2.7,1.7,4.4,4,3.5,2.7,3.2,4,1.9,1.4,2,2.1
RNA5SP436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0
CCNA2,3,4.4,2.9,3.2,5.2,3.3,4,2.9,3.9,3,3,3.3,4,4,4.5,4.2,3.3,4.4,5.1,3.7,4.5,4,4.9,5.3,4.2,1.6,3.3,4.4,4.4,4,3.4,3.6,3.9,2.6,6,4.2,3.9,3.9,3.2,3.4,4.7,4.4,4.9,4.6,3.6,4.5,4.5,3.7,3.6,4.3
PCDHB7,0.6,1.5,0.9,0.7,0,0.3,0.4,0.5,0.7,0.8,0.6,0.3,0.7,0.7,0.2,0.2,0.5,0.5,1.4,1.3,0.1,1.8,0.7,0.1,0.5,0.7,0.5,0.9,0.2,0.6,0.1,0.8,0.4,1.5,0.8,0.7,1.2,0.1,0.3,0.8,2.3,0.7,0.5,0.2,1.1,0.1,0.3,3.8,1.1,0.5
KIAA1462,2.1,2,1.7,3.4,1,1.7,1.7,3.3,2.5,2.7,1.8,1.8,2.6,2.4,0.7,1.6,1.8,2.5,2.8,0.8,0.4,0.6,1.5,0.7,2.2,2.1,1.2,1.8,1,1.8,0.5,2.2,0.7,3,1.7,1.3,2,0.9,1.3,3.1,2.2,0.7,0.7,1,1,1.6,1.3,1.7,2.2,2.2
TRUB2,2.7,3.2,2.5,2.8,3.9,3.6,2.6,2.8,3.5,3.3,2.4,2.6,3.3,2.7,3.3,3.4,2.8,2.4,2.6,3.6,2.8,2.6,3.1,3.8,3,2.2,3.5,3.3,2.8,3.4,3.6,2.5,3.4,2.6,3.1,3.2,3.1,2.8,2.5,2.5,3.4,3.1,4,3,3.7,3.2,3.5,4.2,2.9,3.2
WIPF3,0.7,0.9,0.1,0.5,0.6,1,1.5,0.7,1.5,0.4,1.5,0.7,1.6,0.7,2,0.5,0.3,1.4,0.5,0.9,0.2,0.7,0.1,1.6,2.4,0.1,2.2,2.1,0.7,1.2,1.7,0.9,0.8,1.3,2.4,1,0.4,0.3,1.4,1.2,1.3,1.9,0.2,1,2.7,1.5,1.1,0.6,1.2,2.1
RNU7-9P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
